WL_nm;Abs_Irradiance
251;0.041906163
252;0.05749061
253;0.038153101
254;0.02327748
255;0.058521315
256;0.063970655
257;0.085099399
258;0.069671281
259;0.063643627
260;0.06133214
261;0.048375912
262;0.08967647
263;0.092670582
264;0.068156324
265;0.066927768
266;0.084888488
267;0.128651932
268;0.091229476
269;0.102548584
270;0.095006414
271;0.143749014
272;0.176603541
273;0.180045813
274;0.121003509
275;0.185488775
276;0.099748261
277;0.128632516
278;0.20147641
279;0.169756606
280;0.157660067
281;0.178292215
282;0.23089315
283;0.246708483
284;0.209085658
285;0.241842583
286;0.321788818
287;0.205824241
288;0.352719456
289;0.309264153
290;0.360752136
291;0.343699574
292;0.342050016
293;0.246067479
294;0.411540508
295;0.578703761
296;0.318207532
297;0.420146912
298;0.457677186
299;0.629025161
300;0.496458411
301;0.536412895
302;0.55839628
303;0.552794218
304;0.646005511
305;0.901296794
306;1.284487486
307;1.007677197
308;1.13527596
309;1.32876718
310;1.658186078
311;2.207031727
312;1.94930625
313;2.484433889
314;2.541285992
315;2.455161572
316;2.762475014
317;4.308006287
318;2.830058813
319;2.873038769
320;3.400092363
321;3.658414364
322;3.872164249
323;4.260296822
324;3.887979984
325;3.736439466
326;4.534690857
327;4.933927536
328;5.615546703
329;5.532944679
330;5.913345814
331;6.013507843
332;-6.394246101
333;7.147316933
334;7.505576611
335;8.814261436
336;9.721438408
337;10.25599003
338;12.79424858
339;14.95735168
340;16.92773438
341;15.11119938
342;20.48184776
343;20.56221771
344;23.69318008
345;23.86981201
346;26.51363564
347;27.7301712
348;30.00001526
349;30.12943077
350;27.16303253
351;27.61903381
352;25.91583443
353;26.26591301
354;28.1847229
355;26.41232681
356;30.66921997
357;29.67715263
358;29.69652367
359;32.89451981
360;32.08815765
361;33.81796265
362;32.56164551
363;31.73503685
364;33.63253784
365;32.3251152
366;35.25785446
367;34.64902496
368;34.63628006
369;33.77826691
370;35.00551605
371;35.45827866
372;39.33407593
373;38.24404907
374;42.50504684
375;40.00067139
376;41.9572525
377;45.50139618
378;48.0216217
379;46.704216
380;43.78968811
381;51.24865723
382;50.36900711
383;51.4683609
384;49.99644089
385;51.94610214
386;49.96369171
387;49.779953
388;49.96824265
389;47.81246948
390;50.36303329
391;49.826828
392;47.29677582
393;50.93785858
394;51.6115799
395;50.50870132
396;53.22565842
397;55.16597748
398;56.02529907
399;55.29297638
400;54.73462296
401;57.44911575
402;53.76330566
403;57.18120193
404;58.25986481
405;56.39942551
406;60.82262039
407;61.02890396
408;55.5857811
409;61.16650391
410;63.06852722
411;64.96085358
412;64.75923157
413;67.1346817
414;67.18779755
415;66.43487549
416;65.12585449
417;66.74643707
418;64.68682861
419;65.80075073
420;70.15791321
421;70.15462494
422;67.97714233
423;68.0521698
424;64.92314911
425;66.79302216
426;65.49073792
427;66.6293869
428;67.8168335
429;68.29478455
430;67.13163757
431;69.24497223
432;71.65101624
433;69.89871979
434;70.58818054
435;72.06336212
436;72.25895691
437;72.94673157
438;74.83390045
439;78.4597702
440;77.09806824
441;74.80295563
442;74.32932281
443;76.1622467
444;74.4416275
445;72.33800507
446;71.19941711
447;71.8368454
448;69.83943176
449;70.95426941
450;81.27336884
451;88.5828476
452;76.42070007
453;77.22173309
454;73.60523987
455;70.8736496
456;71.17552185
457;72.98835754
458;76.19754028
459;74.51904297
460;73.21652985
461;72.50147247
462;77.23957825
463;87.5324707
464;88.07474518
465;79.10387421
466;77.60037231
467;91.99604797
468;119.8667679
469;100.0759048
470;91.93669128
471;86.38006592
472;79.34409332
473;82.42967987
474;99.98949432
475;82.00247192
476;76.22173309
477;74.91320801
478;73.75915527
479;75.17612457
480;78.12049866
481;89.79170227
482;94.12030792
483;88.32501221
484;90.1060257
485;87.25263977
486;80.36421967
487;79.2549057
488;78.85301971
489;78.56639862
490;77.96370697
491;79.73764801
492;78.60869598
493;77.60372162
494;76.81746674
495;75.24803162
496;75.36537933
497;73.3581543
498;73.28864288
499;72.41779327
500;72.58532715
501;72.14964294
502;72.59706116
503;71.34697723
504;72.11464691
505;72.59832001
506;72.00105286
507;71.48223114
508;71.40855408
509;71.56401825
510;71.53109741
511;72.24807739
512;71.87425232
513;71.5125885
514;71.63639832
515;71.47589874
516;71.95201874
517;71.81576538
518;70.65547943
519;71.40049744
520;71.75204468
521;71.15585327
522;70.91485596
523;71.74693298
524;71.87593842
525;71.67108154
526;72.24768066
527;71.38287354
528;71.57020569
529;72.08511353
530;72.02423096
531;72.46717072
532;72.15231323
533;72.87193298
534;72.81890869
535;73.12460327
536;73.19257355
537;72.92411041
538;73.09149933
539;73.06570435
540;73.07147217
541;73.53533936
542;74.29038239
543;73.86486816
544;74.32003021
545;74.26113892
546;74.68597412
547;75.51233673
548;75.80270386
549;75.75327301
550;76.40776825
551;76.4019165
552;77.4909668
553;77.58757782
554;78.39230347
555;78.72027588
556;77.96881866
557;78.24909973
558;78.56872559
559;77.88486481
560;77.90670776
561;77.58610535
562;77.69102478
563;77.38834381
564;77.66624451
565;77.03144073
566;77.75944519
567;77.65635681
568;77.88048553
569;78.26287079
570;78.62963104
571;78.99919891
572;78.39833069
573;78.79502869
574;78.56689453
575;79.00367737
576;78.1051178
577;78.84962463
578;78.36040497
579;79.17857361
580;79.0918045
581;78.88941956
582;78.84312439
583;79.90052795
584;80.43627167
585;80.40843201
586;80.27059174
587;80.14920807
588;80.26909637
589;80.13757324
590;79.50081635
591;79.24503326
592;78.95989227
593;78.46659088
594;77.79457855
595;77.07065582
596;76.13245392
597;75.69139099
598;75.33746338
599;74.6336441
600;74.12059021
601;73.69055176
602;73.84684753
603;73.19983673
604;73.03853607
605;72.90289307
606;73.11480713
607;73.08101654
608;73.38481903
609;73.34877777
610;73.68067169
611;73.89448547
612;74.59976959
613;75.47425079
614;75.93700409
615;76.76150513
616;77.78237915
617;78.13504028
618;78.85472107
619;80.58493805
620;81.03547668
621;80.3944931
622;78.99485016
623;78.40049744
624;77.21986389
625;76.40505219
626;76.34750366
627;75.61829376
628;75.67156982
629;75.61768341
630;75.78025055
631;76.45762634
632;77.09187317
633;76.72284698
634;75.37010956
635;74.19062805
636;73.58953857
637;72.48431396
638;72.20853424
639;71.58976746
