WL_nm;Abs_Irradiance
251;0.009186017
252;0.029356482
253;-0.003651411
254;0.002523535
255;0.017529573
256;0.032365967
257;0.050058458
258;0.048272088
259;0.019209804
260;0.02847564
261;0.006643162
262;0.045737363
263;0.056100868
264;0.029230211
265;0.023360701
266;0.018892866
267;0.050416805
268;0.044445146
269;0.036786471
270;0.026912374
271;0.040446535
272;0.075202249
273;0.060940661
274;0.064298898
275;0.081737801
276;0.023347046
277;-0.017035972
278;0.066649586
279;0.061198622
280;0.051165927
281;0.090310164
282;0.145069003
283;0.103495806
284;0.09904743
285;0.064592205
286;0.059596099
287;0.094382949
288;0.196277514
289;0.156778857
290;0.161071748
291;0.074111722
292;0.225671098
293;0.086247921
294;0.223866299
295;0.285812765
296;0.146110117
297;0.228860468
298;0.260881633
299;0.331793487
300;0.187369063
301;0.200199172
302;0.198785454
303;0.192103878
304;0.274226606
305;0.3538104
306;0.618099153
307;0.443732262
308;0.412351727
309;0.741012037
310;0.727375209
311;1.119897366
312;0.964056909
313;1.106127024
314;1.142963171
315;1.290992141
316;1.31698072
317;2.046144247
318;1.468738317
319;1.409181714
320;1.691363335
321;1.772808671
322;1.737513661
323;2.256359577
324;1.957097054
325;1.958362341
326;2.193240643
327;2.395104647
328;2.796898603
329;2.804160595
330;2.760138035
331;2.992772102
332;-3.1799016
333;3.438151121
334;3.831489801
335;4.590484142
336;4.835476398
337;5.14978075
338;6.426315308
339;7.587384701
340;8.699953079
341;7.79419136
342;10.42396736
343;10.74301624
344;12.27630234
345;12.25798988
346;13.72156334
347;14.40303612
348;15.48918438
349;15.41870594
350;13.82627869
351;14.40088177
352;13.47894287
353;13.84151363
354;14.51508904
355;13.57262039
356;16.09025002
357;15.49823761
358;15.25558472
359;17.25892258
360;16.67175102
361;17.3958149
362;17.00351143
363;16.56134796
364;17.28689957
365;16.89216232
366;18.12352753
367;17.90514755
368;17.91447258
369;17.67596054
370;18.17821503
371;18.53791809
372;20.42448616
373;19.88198662
374;22.05969429
375;20.73186874
376;22.06685448
377;23.87147522
378;24.84503365
379;24.46305466
380;23.08405685
381;26.72507477
382;26.48892784
383;26.6915493
384;26.15113449
385;26.99449348
386;26.131073
387;25.63928986
388;25.6799221
389;25.11080742
390;26.11686516
391;25.80483055
392;24.78222656
393;26.54823685
394;26.83219337
395;26.42983627
396;28.13015556
397;29.7709446
398;29.95753288
399;29.36909103
400;28.43160439
401;29.86605644
402;28.20415878
403;29.72353172
404;30.41483116
405;29.49648666
406;32.09991074
407;32.11207962
408;29.26059723
409;32.47108078
410;33.28652573
411;34.24207306
412;34.55952835
413;35.63357162
414;35.37683487
415;34.81993103
416;34.08613968
417;34.93858337
418;34.26187515
419;34.82574081
420;35.7721405
421;37.08870697
422;35.77835464
423;35.82369614
424;34.664608
425;34.8026886
426;34.7173233
427;35.15435028
428;35.89170074
429;35.8943634
430;35.49916458
431;36.66526794
432;37.85526657
433;37.20429993
434;37.06224823
435;37.89056396
436;38.59857559
437;39.10796738
438;39.88519287
439;41.59565735
440;40.82246399
441;39.74213409
442;39.31620789
443;40.36380768
444;39.26851654
445;38.25686646
446;37.89612198
447;37.98766327
448;37.15920639
449;37.55268478
450;43.71235275
451;48.20219421
452;40.3354187
453;41.51943207
454;39.16467667
455;37.4603157
456;37.73958588
457;38.89855194
458;41.2060051
459;40.02079391
460;38.91238785
461;38.51246262
462;41.72767639
463;48.83476639
464;48.21212769
465;41.97230148
466;41.33340836
467;51.42713547
468;70.30918121
469;54.58218765
470;50.12717438
471;46.76690292
472;42.2183342
473;44.12313461
474;56.009655
475;43.53460693
476;40.97942352
477;40.3837471
478;39.85947037
479;40.72400665
480;42.43016052
481;52.20889664
482;52.91669464
483;49.07131958
484;50.67853546
485;48.59360123
486;44.51761246
487;43.68743896
488;43.1892395
489;43.27426529
490;43.55689621
491;44.17606735
492;52.35774994
493;55.39004517
494;47.63468552
495;43.78679657
496;43.3350563
497;42.52527237
498;42.27177048
499;42.15313721
500;42.22220993
501;42.14578629
502;42.28629303
503;42.65851593
504;43.31803513
505;42.99895096
506;42.01925659
507;41.99226761
508;41.85010147
509;42.31709671
510;42.07030869
511;42.68595123
512;42.47989273
513;42.68589783
514;43.35529327
515;42.87042236
516;43.31633759
517;43.26524353
518;43.09483337
519;43.66074753
520;43.87124252
521;43.84541321
522;43.52244949
523;44.02963638
524;44.12716675
525;44.14979553
526;44.26741791
527;44.2893486
528;44.3102951
529;44.30868149
530;44.86858749
531;44.47666168
532;44.31907654
533;44.40454865
534;44.82418823
535;44.68591309
536;44.59655762
537;44.5330162
538;44.59243011
539;44.25016785
540;44.41790771
541;44.53011703
542;44.61303711
543;44.4295845
544;44.57098007
545;44.43106461
546;44.68017197
547;44.59862137
548;43.98636627
549;43.76073837
550;43.89411163
551;43.81505203
552;43.89733505
553;43.8795166
554;43.88271713
555;44.02632523
556;43.62255478
557;43.72314453
558;43.96503067
559;43.48160934
560;43.59120941
561;43.24274445
562;43.37239838
563;43.31021881
564;43.26518631
565;42.90992355
566;43.3302002
567;43.36668396
568;43.31743622
569;43.59864044
570;43.95301819
571;44.15985107
572;43.8416481
573;44.05213928
574;43.83983612
575;43.8853569
576;43.61862564
577;43.75456619
578;43.54270172
579;44.08908081
580;44.14615631
581;44.08097458
582;44.10512543
583;44.85951233
584;45.21867371
585;45.26008987
586;45.24113464
587;45.11022568
588;45.20726776
589;45.15594864
590;44.9128418
591;44.53009033
592;44.30909729
593;43.8380928
594;43.45803833
595;42.91112518
596;42.2248497
597;41.9732132
598;41.63067245
599;41.29656982
600;40.8956604
601;40.69169235
602;40.61458588
603;40.25935745
604;40.07019806
605;39.97810364
606;39.95611954
607;40.06945038
608;40.13524246
609;40.23210144
610;40.51856232
611;40.65624237
612;41.05715179
613;41.74274826
614;42.12828064
615;42.71555328
616;43.47449112
617;43.82969666
618;44.70133972
619;46.0917778
620;46.07235336
621;45.58397675
622;44.4704895
623;43.90429306
624;42.8308754
625;42.21734238
626;41.90359497
627;41.74496078
628;41.90031433
629;41.70026779
630;42.06075287
631;42.71828461
632;43.081604
633;43.01172638
634;41.90325928
635;40.83675003
636;40.30632401
637;39.73168564
638;39.43255234
639;39.05593872
640;38.41529465
641;38.30631256
642;38.39915848
643;38.47050858
644;38.78142166
645;39.39709473
646;40.64748764
647;43.44425583
648;44.45549774
649;44.41864014
650;42.75759506
651;41.28665924
652;39.33215332
653;39.08443832
654;38.60025024
655;38.76604843
656;39.36874771
657;38.21479797
658;37.89848709
659;37.63291168
660;38.20930862
661;38.39324188
662;38.14125443
663;38.47698212
664;38.74554825
665;38.93788528
666;39.16308594
667;40.42553329
668;40.86145401
669;39.66017532
670;39.18014526
671;38.89810181
672;38.42835617
673;39.54771042
674;40.84776306
675;40.20849228
676;39.78165436
677;38.59783173
678;37.76120377
679;37.71770096
680;37.71686172
681;38.55715561
682;39.66294098
683;47.06793213
684;49.10068512
685;45.79477692
686;46.21419907
687;48.23353958
688;50.57966995
689;55.33442307
690;51.91556549
691;45.69641113
692;41.60889816
693;40.24471664
694;38.2115593
695;36.73469925
696;35.47404099
697;36.08001709
698;36.88465118
699;37.02126312
700;35.78084183
701;34.09735107
702;33.3504982
703;32.76154709
704;32.45165634
705;32.64273071
706;32.75239944
707;33.97993851
708;35.71523285
709;38.44310379
710;40.57519913
711;45.97963715
712;52.51433945
713;52.00030518
714;46.11178589
715;43.45263672
716;39.04616928
717;36.60609818
718;35.12293243
719;34.10848618
720;33.61600876
721;32.56695557
722;32.37656403
723;32.56864548
724;33.04685211
725;33.46018219
726;34.90422058
727;37.20533752
728;40.57268143
729;43.3089447
730;40.80482864
731;40.11893845
732;43.89004135
733;46.42021179
734;43.33729553
735;38.15202713
736;35.50895309
737;34.41621399
738;35.39894104
739;40.3020668
740;45.4162674
741;45.41187668
742;41.6985817
743;37.79667664
744;34.88755035
745;32.96653366
746;32.25200272
747;31.60477829
748;31.9060154
749;33.79692078
750;35.89804077
751;35.49656296
752;34.86076736
753;34.37080765
754;34.8656044
755;34.55619049
756;34.52390671
