Full_Name;Name;Species;Family;Genus;Temperature;Temp_test;pH;pH_test;Inactivation;CT[mg*min/L]or[mWs/cm2];CT_test;Disinfectant;Source;Reference;GenomeT;GenomeS;GenomeSeg;Envelope;Cell;Method 
Adenovirus 3;Adenovirus 3;Adenovirus B;Adenoviridae;Mastadenovirus;2;2;7.8;7.8;99.99;2.4;2.4;Chlorine;RSW;Liu et al. (1971);DNA;ds;N;N;NA;NA
Adenovirus 5;Adenovirus 5;Adenovirus C;Adenoviridae;Mastadenovirus;25;25;7.5;7.5;99;6;6;Chlorine;TAP;Abad et al. (1994);DNA;ds;N;N;NA;NA
Adenovirus 7A;Adenovirus 7A;Adenovirus B;Adenoviridae;Mastadenovirus;2;2;7.8;7.8;99.99;6.25;6.25;Chlorine;RSW;Liu et al. (1971);DNA;ds;N;N;NA;NA
Adenovirus 12;Adenovirus 12;Adenovirus A;Adenoviridae;Mastadenovirus;2;2;7.8;7.8;99.99;6.75;6.75;Chlorine;RSW;Liu et al. (1971);DNA;ds;N;N;NA;NA
Adenovirus 40;Adenovirus 40;Adenovirus F;Adenoviridae;Mastadenovirus;5;5;6;6;99;< 0.4;0.4;Chlorine;CDF;Jacangelo et al. (2002);DNA;ds;N;N;NA;NA
Adenovirus 40;Adenovirus 40;Adenovirus F;Adenoviridae;Mastadenovirus;5;5;7;7;99;< 0.2;0.2;Chlorine;CDF;Jacangelo et al. (2002);DNA;ds;N;N;NA;NA
Adenovirus 40;Adenovirus 40;Adenovirus F;Adenoviridae;Mastadenovirus;5;5;8;8;99;< 0.2;0.2;Chlorine;CDF;Jacangelo et al. (2002);DNA;ds;N;N;NA;NA
Adenovirus 40;Adenovirus 40;Adenovirus F;Adenoviridae;Mastadenovirus;23;23;7;7;99;< 0.2;0.2;Chlorine;CDF;Jacangelo et al. (2002);DNA;ds;N;N;NA;NA
Adenovirus 40;Adenovirus 40;Adenovirus F;Adenoviridae;Mastadenovirus;23;23;8;8;99;< 0.2;0.2;Chlorine;CDF;Jacangelo et al. (2002);DNA;ds;N;N;NA;NA
Adenovirus 40;Adenovirus 40;Adenovirus F;Adenoviridae;Mastadenovirus;5;5;6;6;99;0.05;0.05;Chlorine;BDF;Thurston-Enriquez et al. (2003);DNA;ds;N;N;NA;NA
Adenovirus 40;Adenovirus 40;Adenovirus F;Adenoviridae;Mastadenovirus;5;5;6;6;99.9;0.11;0.11;Chlorine;BDF;Thurston-Enriquez et al. (2003);DNA;ds;N;N;NA;NA
Adenovirus 40;Adenovirus 40;Adenovirus F;Adenoviridae;Mastadenovirus;5;5;6;6;99.99;0.22;0.22;Chlorine;BDF;Thurston-Enriquez et al. (2003);DNA;ds;N;N;NA;NA
Adenovirus 40;Adenovirus 40;Adenovirus F;Adenoviridae;Mastadenovirus;5;5;7;7;99;0.15;0.15;Chlorine;BDF;Thurston-Enriquez et al. (2003);DNA;ds;N;N;NA;NA
Adenovirus 40;Adenovirus 40;Adenovirus F;Adenoviridae;Mastadenovirus;5;5;7;7;99.9;0.38;0.38;Chlorine;BDF;Thurston-Enriquez et al. (2003);DNA;ds;N;N;NA;NA
Adenovirus 40;Adenovirus 40;Adenovirus F;Adenoviridae;Mastadenovirus;5;5;7;7;99.99;0.75;0.75;Chlorine;BDF;Thurston-Enriquez et al. (2003);DNA;ds;N;N;NA;NA
Adenovirus 40;Adenovirus 40;Adenovirus F;Adenoviridae;Mastadenovirus;5;5;8;8;99;0.11;0.11;Chlorine;BDF;Thurston-Enriquez et al. (2003);DNA;ds;N;N;NA;NA
Adenovirus 40;Adenovirus 40;Adenovirus F;Adenoviridae;Mastadenovirus;5;5;8;8;99.9;0.17;0.17;Chlorine;BDF;Thurston-Enriquez et al. (2003);DNA;ds;N;N;NA;NA
Adenovirus 40;Adenovirus 40;Adenovirus F;Adenoviridae;Mastadenovirus;5;5;8;8;99.99;0.24;0.24;Chlorine;BDF;Thurston-Enriquez et al. (2003);DNA;ds;N;N;NA;NA
Adenovirus 40;Adenovirus 40;Adenovirus F;Adenoviridae;Mastadenovirus;15;15;8 to 8.2;8.1;99;1.51;1.51;Chlorine;BDF;Thurston-Enriquez et al. (2003);DNA;ds;N;N;NA;NA
Adenovirus 40;Adenovirus 40;Adenovirus F;Adenoviridae;Mastadenovirus;15;15;8 to 8.2;8.1;99.9;9.69;9.69;Chlorine;BDF;Thurston-Enriquez et al. (2003);DNA;ds;N;N;NA;NA
Adenovirus 40;Adenovirus 40;Adenovirus F;Adenoviridae;Mastadenovirus;15;15;8 to 8.2;8.1;99.99;36.09;36.09;Chlorine;BDF;Thurston-Enriquez et al. (2003);DNA;ds;N;N;NA;NA
Feline calcivirus;Feline calcivirus;Feline calcivirus;Calciviridae;Vesivirus;5;5;6;6;99;< 0.25;0.25;Chlorine;BDF;Jacangelo et al. (2002);RNA;ss;N;N;NA;NA
Feline calcivirus;Feline calcivirus;Feline calcivirus;Calciviridae;Vesivirus;5;5;7;7;99;< 0.25;0.25;Chlorine;BDF;Jacangelo et al. (2002);RNA;ss;N;N;NA;NA
Feline calcivirus;Feline calcivirus;Feline calcivirus;Calciviridae;Vesivirus;5;5;8;8;99;< 0.2;0.2;Chlorine;BDF;Jacangelo et al. (2002);RNA;ss;N;N;NA;NA
Feline calcivirus;Feline calcivirus;Feline calcivirus;Calciviridae;Vesivirus;15;15;7;7;99;< 0.25;0.25;Chlorine;BDF;Jacangelo et al. (2002);RNA;ss;N;N;NA;NA
Feline calcivirus;Feline calcivirus;Feline calcivirus;Calciviridae;Vesivirus;15;15;8;8;99;< 1;1;Chlorine;BDF;Jacangelo et al. (2002);RNA;ss;N;N;NA;NA
Feline calcivirus (dispersed);Feline calcivirus;Feline calcivirus;Calciviridae;Vesivirus;5;5;6;6;99;0.02;0.02;Chlorine;BDF;Thurston-Enriquez et al. (2003);RNA;ss;N;N;NA;NA
Feline calcivirus (dispersed);Feline calcivirus;Feline calcivirus;Calciviridae;Vesivirus;5;5;6;6;99.9;0.07;0.07;Chlorine;BDF;Thurston-Enriquez et al. (2003);RNA;ss;N;N;NA;NA
Feline calcivirus (dispersed);Feline calcivirus;Feline calcivirus;Calciviridae;Vesivirus;5;5;6;6;99.99;0.19;0.19;Chlorine;BDF;Thurston-Enriquez et al. (2003);RNA;ss;N;N;NA;NA
Feline calcivirus (dispersed);Feline calcivirus;Feline calcivirus;Calciviridae;Vesivirus;5;5;7;7;99;0.05;0.05;Chlorine;BDF;Thurston-Enriquez et al. (2003);RNA;ss;N;N;NA;NA
Feline calcivirus (dispersed);Feline calcivirus;Feline calcivirus;Calciviridae;Vesivirus;5;5;7;7;99.9;0.06;0.06;Chlorine;BDF;Thurston-Enriquez et al. (2003);RNA;ss;N;N;NA;NA
Feline calcivirus (dispersed);Feline calcivirus;Feline calcivirus;Calciviridae;Vesivirus;5;5;7;7;99.99;0.07;0.07;Chlorine;BDF;Thurston-Enriquez et al. (2003);RNA;ss;N;N;NA;NA
Feline calcivirus (dispersed);Feline calcivirus;Feline calcivirus;Calciviridae;Vesivirus;5;5;8;8;99;0.18;0.18;Chlorine;BDF;Thurston-Enriquez et al. (2003);RNA;ss;N;N;NA;NA
Feline calcivirus (dispersed);Feline calcivirus;Feline calcivirus;Calciviridae;Vesivirus;5;5;8;8;99.9;0.23;0.23;Chlorine;BDF;Thurston-Enriquez et al. (2003);RNA;ss;N;N;NA;NA
Feline calcivirus (dispersed);Feline calcivirus;Feline calcivirus;Calciviridae;Vesivirus;5;5;8;8;99.99;0.27;0.27;Chlorine;BDF;Thurston-Enriquez et al. (2003);RNA;ss;N;N;NA;NA
Feline calcivirus (dispersed);Feline calcivirus;Feline calcivirus;Calciviridae;Vesivirus;15;15;8 to 8.2;8.1;99;0.21;0.21;Chlorine;TAP;Thurston-Enriquez et al. (2003);RNA;ss;N;N;NA;NA
Feline calcivirus (dispersed);Feline calcivirus;Feline calcivirus;Calciviridae;Vesivirus;15;15;8 to 8.2;8.1;99.9;0.56;0.56;Chlorine;TAP;Thurston-Enriquez et al. (2003);RNA;ss;N;N;NA;NA
Feline calcivirus (dispersed);Feline calcivirus;Feline calcivirus;Calciviridae;Vesivirus;15;15;8 to 8.2;8.1;99.99;1.1;1.1;Chlorine;TAP;Thurston-Enriquez et al. (2003);RNA;ss;N;N;NA;NA
Norovirus Genogroup 1;Norovirus;Norovirus;Calciviridae;Norovirus;5;5;6;6;99;0.66;0.66;Chlorine;PBW;Shin et al. (2008);RNA;ss;N;N;NA;NA
Norovirus Genogroup 1;Norovirus;Norovirus;Calciviridae;Norovirus;5;5;6;6;99.9;0.99;0.99;Chlorine;PBW;Shin et al. (2008);RNA;ss;N;N;NA;NA
Norovirus Genogroup 1;Norovirus;Norovirus;Calciviridae;Norovirus;5;5;6;6;99.99;1.3;1.3;Chlorine;PBW;Shin et al. (2008);RNA;ss;N;N;NA;NA
Poliovirus 1;Poliovirus 1;Enterovirus C;Picornaviridae;Enterovirus;5;5;6;6;99;1.05;1.05;Chlorine;NA;SDWC (1980);RNA;ss;N;N;NA;NA
Poliovirus 1;Poliovirus 1;Enterovirus C;Picornaviridae;Enterovirus;5;5;6;6;99;2.1;2.1;Chlorine;NA;SDWC (1980);RNA;ss;N;N;NA;NA
Poliovirus 1;Poliovirus 1;Enterovirus C;Picornaviridae;Enterovirus;15;15;6;6;99;1;1;Chlorine;NA;SDWC (1980);RNA;ss;N;N;NA;NA
Poliovirus 3;Poliovirus 3;Enterovirus C;Picornaviridae;Enterovirus;25 to 28;26.5;8;8;99;5.36;5.36;Chlorine;NA;"Crawford (1988); Malley (2000)";RNA;ss;N;N;NA;NA
Poliovirus 1;Poliovirus 1;Enterovirus C;Picornaviridae;Enterovirus;5;5;10;10;99;10.5;10.5;Chlorine;NA;SDWC (1980);RNA;ss;N;N;NA;NA
Poliovirus 1;Poliovirus 1;Enterovirus C;Picornaviridae;Enterovirus;15;15;10;10;99;3.5;3.5;Chlorine;NA;SDWC (1980);RNA;ss;N;N;NA;NA
Poliovirus 1;Poliovirus 1;Enterovirus C;Picornaviridae;Enterovirus;5;5;6;6;99;0.6 to 1.8;1.2;Chlorine;BDF;Jacangelo et al. (2002);RNA;ss;N;N;NA;NA
Poliovirus 1 (aggregated);Poliovirus 1;Enterovirus C;Picornaviridae;Enterovirus;5;5;6;6;99;1.5 to 3;2.25;Chlorine;BDF;Jacangelo et al. (2002);RNA;ss;N;N;NA;NA
Poliovirus 1 (aggregated);Poliovirus 1;Enterovirus C;Picornaviridae;Enterovirus;5;5;7;7;99;< 1 to 10;5;Chlorine;BDF;Jacangelo et al. (2002);RNA;ss;N;N;NA;NA
Poliovirus 1;Poliovirus 1;Enterovirus C;Picornaviridae;Enterovirus;5;5;6;6;99;0.93;0.93;Chlorine;BDF;Thurston-Enriquez et al. (2003);RNA;ss;N;N;NA;NA
Poliovirus 1;Poliovirus 1;Enterovirus C;Picornaviridae;Enterovirus;5;5;6;6;99.9;2.87;2.87;Chlorine;BDF;Thurston-Enriquez et al. (2003);RNA;ss;N;N;NA;NA
Poliovirus 1;Poliovirus 1;Enterovirus C;Picornaviridae;Enterovirus;5;5;6;6;99.99;6.36;6.36;Chlorine;BDF;Thurston-Enriquez et al. (2003);RNA;ss;N;N;NA;NA
Coxsackievirus A2;Coxsackievirus A2;Enterovirus A;Picornaviridae;Enterovirus;0 to 5;5;7 to 7.5;7.25;99;12;12;Chlorine;NA;White (1999);RNA;ss;N;N;NA;NA
Coxsackievirus A2;Coxsackievirus A2;Enterovirus A;Picornaviridae;Enterovirus;10;10;7 to 7.5;7.25;99;8;8;Chlorine;NA;White (1999);RNA;ss;N;N;NA;NA
Coxsackievirus A2;Coxsackievirus A2;Enterovirus A;Picornaviridae;Enterovirus;0 to 5;5;7.5 to 8;7.75;99;20;20;Chlorine;NA;White (1999);RNA;ss;N;N;NA;NA
Coxsackievirus A2;Coxsackievirus A2;Enterovirus A;Picornaviridae;Enterovirus;10;10;7.5 to 8;7.75;99;15;15;Chlorine;NA;White (1999);RNA;ss;N;N;NA;NA
Coxsackievirus A2;Coxsackievirus A2;Enterovirus A;Picornaviridae;Enterovirus;0 to 5;5;8 to 8.5;8.25;99;30;30;Chlorine;NA;White (1999);RNA;ss;N;N;NA;NA
Coxsackievirus A2;Coxsackievirus A2;Enterovirus A;Picornaviridae;Enterovirus;10;10;8 to 8.5;8.25;99;20;20;Chlorine;NA;White (1999);RNA;ss;N;N;NA;NA
Coxsackievirus A2;Coxsackievirus A2;Enterovirus A;Picornaviridae;Enterovirus;0 to 5;5;8.5 to 9;8.75;99;35;35;Chlorine;NA;White (1999);RNA;ss;N;N;NA;NA
Coxsackievirus A2;Coxsackievirus A2;Enterovirus A;Picornaviridae;Enterovirus;10;10;8.5 to 9;8.75;99;22;22;Chlorine;NA;White (1999);RNA;ss;N;N;NA;NA
Coxsackievirus A5;Coxsackievirus A5;Enterovirus A;Picornaviridae;Enterovirus;2;2;7.8;7.8;99.99;16.8;16.8;Chlorine;RSW;Liu et al. (1971);RNA;ss;N;N;NA;NA
Coxsackievirus A9;Coxsackievirus A9;Enterovirus B;Picornaviridae;Enterovirus;5;5;6;6;99;0.14;0.14;Chlorine;CDF;Engelbrecht et al. (1980);RNA;ss;N;N;NA;NA
Coxsackievirus A9;Coxsackievirus A9;Enterovirus B;Picornaviridae;Enterovirus;5;5;10 to 10.01;10;99;0.72;0.72;Chlorine;CDF;Engelbrecht et al. (1980);RNA;ss;N;N;NA;NA
Coxsackievirus A9;Coxsackievirus A9;Enterovirus B;Picornaviridae;Enterovirus;2;2;7.8;7.8;99.99;3.4;3.4;Chlorine;RSW;Liu et al. (1971);RNA;ss;N;N;NA;NA
Coxsackievirus B1;Coxsackievirus B1;Enterovirus B;Picornaviridae;Enterovirus;2;2;7.8;7.8;99.99;4.3;4.3;Chlorine;RSW;Liu et al. (1971);RNA;ss;N;N;NA;NA
Coxsackievirus B3;Coxsackievirus B3;Enterovirus B;Picornaviridae;Enterovirus;2;2;7.8;7.8;99.99;8.1;8.1;Chlorine;RSW;Liu et al. (1971);RNA;ss;N;N;NA;NA
Coxsackievirus B5;Coxsackievirus B5;Enterovirus B;Picornaviridae;Enterovirus;5;5;6;6;99;1.751;1.751;Chlorine;CDF;"Crawford (1988); Malley (2000)";RNA;ss;N;N;NA;NA
Coxsackievirus B5;Coxsackievirus B5;Enterovirus B;Picornaviridae;Enterovirus;5;5;6;6;99;3.25;3.25;Chlorine;BDF;Sobsey et al. (1988);RNA;ss;N;N;NA;NA
Coxsackievirus B5;Coxsackievirus B5;Enterovirus B;Picornaviridae;Enterovirus;5;5;8;8;99;9.5;9.5;Chlorine;BDF;Sobsey et al. (1988);RNA;ss;N;N;NA;NA
Coxsackievirus B5;Coxsackievirus B5;Enterovirus B;Picornaviridae;Enterovirus;25;25;8.1;8.1;99;59;59;Chlorine;TAP;Grabow et al. (1984);RNA;ss;N;N;NA;NA
Coxsackievirus B5;Coxsackievirus B5;Enterovirus B;Picornaviridae;Enterovirus;25;25;8.5;8.5;99;108;108;Chlorine;HTE;Grabow et al. (1984);RNA;ss;N;N;NA;NA
Coxsackievirus B5;Coxsackievirus B5;Enterovirus B;Picornaviridae;Enterovirus;5;5;6 to 6.06;6;99;1.73;1.73;Chlorine;CDF;Engelbrecht et al. (1980);RNA;ss;N;N;NA;NA
Coxsackievirus B5;Coxsackievirus B5;Enterovirus B;Picornaviridae;Enterovirus;5;5;7.81 to 7.82;7.8;99;2.16;2.16;Chlorine;CDF;Engelbrecht et al. (1980);RNA;ss;N;N;NA;NA
Coxsackievirus B5;Coxsackievirus B5;Enterovirus B;Picornaviridae;Enterovirus;5;5;9.93 to 10.05;10;99;33;33;Chlorine;CDF;Engelbrecht et al. (1980);RNA;ss;N;N;NA;NA
Coxsackievirus B5;Coxsackievirus B5;Enterovirus B;Picornaviridae;Enterovirus;2;2;7.8;7.8;99.99;19.8;19.8;Chlorine;RSW;Liu et al. (1971);RNA;ss;N;N;NA;NA
